Model,RÂ²,RMSE,Versie,Datum
Ridge,0.0234,19.8,v1_baseline,31-10-2025 17:39
DummyRegressor (mean),-0.0,20.03,v1_baseline,31-10-2025 17:39
ElasticNet,0.0234,19.8,v1_baseline,31-10-2025 17:39
Lasso,0.0234,19.8,v1_baseline,31-10-2025 17:39
Random Forest,0.067,19.35,v1_baseline,31-10-2025 17:39
Decision Tree Regressor,-0.119,21.19,v1_baseline,31-10-2025 17:39
Lineaire Regressie,0.0234,19.8,v1_baseline,31-10-2025 17:39
Lineaire Regressie,0.0173,20.31,v2_features,01-11-2025 23:25
ElasticNet,0.0172,20.31,v2_features,01-11-2025 23:25
Lasso,0.0173,20.31,v2_features,01-11-2025 23:25
Ridge,0.0172,20.31,v2_features,01-11-2025 23:25
Random Forest,0.1668,18.7,v2_features,01-11-2025 23:25
Decision Tree Regressor,-0.1077,21.57,v2_features,01-11-2025 23:25
DummyRegressor (mean),-0.0,20.49,v2_features,01-11-2025 23:25
